Rater	1000	1010	1040	1060	2130	2140	2150	3020	3050	3060	3130	3140	3160	3180	3190	3200	3210	3220	3230	3240	3250	3260	3280	3290	3300	3310	3340	3380	3390	3400	4040	4270
VT_MR 1	1	5	2	2	4	6	5	2	4	1	3	4	4	1	5	3	2	5	3	5	3	2	2	6	4	4	3	2	6	1	2	5
VT_MR 2	2	2	2	2	2	2	3	2	2	2	2	3	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
VT_MR 3	2	3	1	2	1	4	3	4	1	1	4	4	3	2	2	3	1	3	3	3	3	2	4	4	4	3	2	3	3	2	3	3
VT_MR 4	1	2	3	2	1	2	3	1	1	2	2	4	4	2	4	2	1	5	1	1	2	1	3	2	4	2	1	2	4	2	3	3
VT_MR 5	3	3	3	3	3	3	4	3	3	3	3	2	2	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
VT_MR 6	2	6	2	3	2	4	4	2	4	2	3	5	2	2	2	2	3	7	3	2	4	2	5	5	2	5	4	3	2	2	2	2
VT_MR 7	2	2	2	2	2	3	3	2	2	2	3	3	2	2	2	3	2	3	2	3	3	2	2	3	2	2	2	2	3	2	2	2
VT_MR 8	2	2	2	2	2	2	3	3	2	2	3	4	2	1	3	2	2	3	2	2	3	2	3	4	3	2	3	2	2	2	2	2
VT_MR 9	3	5	1	3	4	4	3	4	1	2	5	4	4	3	I know this person	5	1	5	2	4	2	2	4	4	4	5	I know this person	4	1	1	I know this person	I know this person
VT_MR 10	3	5	3	2	5	5	6	6	4	2	6	6	6	2	6	3	4	6	2	3	2	3	4	4	6	6	6	3	3	3	4	3
VT_MR 11	1	2	1	1	2	1	2	4	1	1	1	4	1	2	4	1	1	3	1	1	1	1	1	1	1	I know this person	1	1	1	1	3	1
VT_MR 12	5	5	1	5	7	4	4	7	7	7	4	7	5	1	7	7	5	7	5	7	4	5	5	4	5	7	6	5	6	7	6	5
VT_MR 13	1	3	1	1	2	2	2	1	1	2	5	7	5	1	4	2	1	3	2	2	1	1	3	4	2	5	3	2	2	1	4	3
VT_MR 14	3	5	4	3	4	3	6	6	3	2	4	5	5	2	3	4	3	2	3	5	4	3	7	6	3	5	2	3	3	2	6	5
VT_MR 15	4	4	4	4	4	5	5	5	4	4	4	4	5	3	4	5	3	4	5	5	4	4	4	5	4	5	4	4	4	4	5	4
VT_MR 16	1	4	1	2	3	1	4	1	1	1	2	3	3	1	1	1	1	1	4	1	1	1	1	1	1	2	1	1	1	1	1	3
VT_MR 17	1	2	1	1	1	1	1	2	1	1	3	3	1	1	2	1	1	2	1	1	1	1	1	2	2	2	3	1	1	1	3	1
VT_MR 18	2	2	2	2	3	2	2	3	2	2	3	4	2	1	4	2	3	3	3	2	2	2	2	2	3	4	2	2	3	2	3	3
VT_MR 19	1	2	2	1	1	1	2	2	1	1	2	2	1	1	1	2	2	1	2	2	2	2	2	I know this person	I know this person	3	2	2	2	1	2	2
VT_MR 20	1	3	1	1	2	3	1	4	1	1	2	2	3	1	2	1	1	2	2	2	1	1	2	2	3	4	4	1	1	1	2	3
VT_MR 21	2	3	2	2	3	3	3	3	2	2	3	3	2	2	3	2	2	3	2	3	2	2	3	2	2	3	2	3	2	2	2	2
VT_MR 22	2	4	1	2	6	3	4	2	2	2	5	3	4	2	4	5	2	3	3	4	5	2	3	5	2	3	5	1	3	2	3	4
VT_MR 23	1	2	1	2	2	2	3	2	1	1	3	3	3	1	4	3	2	2	3	3	2	2	3	4	2	4	2	2	2	1	3	3
VT_MR 24	3	4	3	4	4	4	4	4	4	4	4	5	4	4	4	3	4	4	4	4	4	4	5	4	4	4	4	4	4	3	4	4
VT_MR 25	3	5	3	2	5	4	4	6	4	3	1	5	4	2	4	4	1	5	3	5	3	4	4	3	5	4	4	3	2	2	3	3
VT_MR 26	2	3	2	3	2	2	3	3	2	2	3	3	2	2	3	2	3	3	3	3	3	2	3	3	3	3	3	2	3	2	3	2
